placement,table_id,table_caption,dataset,model,hop,partition,beta,method,PE,num_clients,accuracy,mean_acc_pct,std_acc_pct,n_reps,delta_vs_zerohop_pp,zerohop_acc_pct,num_iter,t,alpha,notes,source_summary_path,source_dataset,beta_label,zero_acc_pct,full_acc_pct,best_fedprop_method,best_fedprop_acc_pct,gain_vs_zero_pp,full_gap_pp,gap_closed_pct,gap_closed_clipped_pct,status,zero_n_reps,full_n_reps,fedprop_n_reps
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,IID (beta=10000),10000,FedProp-Diff,no,10,75.08 +/- 0.81 (n=13),75.08461538461539,0.8122460155295259,13.0,13.064615384615387,62.02,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,IID (beta=10000),10000,FedProp-Diff,yes,10,77.34 +/- 0.84 (n=13),77.33846153846154,0.8411682962190763,13.0,15.318461538461541,62.02,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,IID (beta=10000),10000,Full-graph,no,10,80.96 +/- 0.63 (n=10),80.96,0.6328067986711573,10.0,18.93999999999999,62.02,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,IID (beta=10000),10000,Zero-hop,no,10,62.02 +/- 1.70 (n=10),62.02,1.698234377228304,10.0,0.0,62.02,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=1),1,FedProp-Adj,no,10,75.39 +/- 3.02 (n=30),75.39333333333333,3.020382863757205,30.0,,,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=1),1,FedProp-Diff,no,10,73.92 +/- 3.52 (n=18),73.91666666666666,3.5225742592264435,18.0,,,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=1),1,Full-graph,no,10,75.01 +/- 2.81 (n=20),75.01,2.8127342007752065,20.0,,,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=10),10,FedProp-Adj,no,10,77.85 +/- 1.38 (n=30),77.84666666666666,1.382834004881813,30.0,4.336666666666673,73.50999999999999,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=10),10,FedProp-Adj,yes,10,79.23 +/- 0.74 (n=10),79.23,0.7394442357458598,10.0,5.720000000000013,73.50999999999999,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=10),10,FedProp-Diff,no,10,75.75 +/- 1.46 (n=10),75.75,1.4562127439201866,10.0,2.240000000000009,73.50999999999999,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=10),10,FedProp-Diff,yes,10,79.64 +/- 0.70 (n=10),79.64,0.6995236474439833,10.0,6.13000000000001,73.50999999999999,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Pubmed,GCN,1,non-IID (beta=10),10,Full-graph,no,10,77.82 +/- 1.93 (n=20),77.82,1.9321654064532727,20.0,4.310000000000002,73.50999999999999,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
