result_family,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,n_reps,mean_acc_pct,std_acc_pct,source_files,source_summary_path,accuracy
primary_10_client,Computers,GCN,2,Zero-hop,no,10,10,50,0.1,0.5,15,81.74666666666667,2.305232144079035,3,experiments/results/current/summary_current_live_preferred.csv,81.75 +/- 2.31 (n=15)
primary_10_client,Computers,GCN,2,Zero-hop,no,10000,10,50,0.1,0.5,15,80.92,2.89511904517142,3,experiments/results/current/summary_current_live_preferred.csv,80.92 +/- 2.90 (n=15)
primary_10_client,Cora,GAT,2,FedProp-Adj,no,1,10,50,0.1,0.5,10,80.18,0.7913420387052743,1,experiments/results/current/summary_current_live_preferred.csv,80.18 +/- 0.79 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Adj,no,10,10,50,0.1,0.5,10,74.83,1.5173441710216369,1,experiments/results/current/summary_current_live_preferred.csv,74.83 +/- 1.52 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Adj,no,10000,10,50,0.1,0.5,10,74.53,2.35704617406335,1,experiments/results/current/summary_current_live_preferred.csv,74.53 +/- 2.36 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Adj,yes,1,10,50,0.1,0.5,10,81.78,0.9028350409189402,1,experiments/results/current/summary_current_live_preferred.csv,81.78 +/- 0.90 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Adj,yes,10,10,50,0.1,0.5,20,78.03,1.1916816954027185,2,experiments/results/current/summary_current_live_preferred.csv,78.03 +/- 1.19 (n=20)
primary_10_client,Cora,GAT,2,FedProp-Adj,yes,10000,10,50,0.1,0.5,40,77.7325,0.8266048880968719,4,experiments/results/current/summary_current_live_preferred.csv,77.73 +/- 0.83 (n=40)
primary_10_client,Cora,GAT,2,FedProp-Diff,no,1,10,50,0.1,0.5,10,76.88000000000001,1.1659998094148891,1,experiments/results/current/summary_current_live_preferred.csv,76.88 +/- 1.17 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Diff,no,10,10,50,0.1,0.5,10,70.17,2.062388044099469,1,experiments/results/current/summary_current_live_preferred.csv,70.17 +/- 2.06 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Diff,no,10000,10,50,0.1,0.5,20,70.41999999999999,1.108626461698866,3,experiments/results/current/summary_current_live_preferred.csv,70.42 +/- 1.11 (n=20)
primary_10_client,Cora,GAT,2,FedProp-Diff,yes,1,10,50,0.1,0.5,10,79.9,0.6531972647421813,1,experiments/results/current/summary_current_live_preferred.csv,79.90 +/- 0.65 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Diff,yes,10,10,50,0.1,0.5,10,75.33,0.9661492868312048,1,experiments/results/current/summary_current_live_preferred.csv,75.33 +/- 0.97 (n=10)
primary_10_client,Cora,GAT,2,FedProp-Diff,yes,10000,10,50,0.1,0.5,10,75.63,0.861587681744194,1,experiments/results/current/summary_current_live_preferred.csv,75.63 +/- 0.86 (n=10)
primary_10_client,Cora,GAT,2,Full-graph,no,1,10,50,0.1,0.5,20,81.035,0.6899847443012171,2,experiments/results/current/summary_current_live_preferred.csv,81.03 +/- 0.69 (n=20)
primary_10_client,Cora,GAT,2,Full-graph,no,10,10,50,0.1,0.5,20,80.945,0.8357001476858188,2,experiments/results/current/summary_current_live_preferred.csv,80.94 +/- 0.84 (n=20)
primary_10_client,Cora,GAT,2,Full-graph,no,10000,10,50,0.1,0.5,20,81.17999999999999,0.8140865077528656,2,experiments/results/current/summary_current_live_preferred.csv,81.18 +/- 0.81 (n=20)
primary_10_client,Cora,GAT,2,Zero-hop,no,1,10,50,0.1,0.5,10,67.17,0.7572611467944499,1,experiments/results/current/summary_current_live_preferred.csv,67.17 +/- 0.76 (n=10)
primary_10_client,Cora,GAT,2,Zero-hop,no,10,10,50,0.1,0.5,10,61.45,0.6932211447695147,1,experiments/results/current/summary_current_live_preferred.csv,61.45 +/- 0.69 (n=10)
primary_10_client,Cora,GAT,2,Zero-hop,no,10000,10,50,0.1,0.5,20,61.3,0.8149911203907626,3,experiments/results/current/summary_current_live_preferred.csv,61.30 +/- 0.81 (n=20)
primary_10_client,Cora,GCN,1,FedProp-Adj,no,1,10,50,0.1,0.5,15,76.8,1.606682473741646,2,experiments/results/current/summary_current_live_preferred.csv,76.80 +/- 1.61 (n=15)
primary_10_client,Cora,GCN,1,FedProp-Adj,no,10,10,50,0.1,0.5,10,73.36,1.2877197762798491,1,experiments/results/current/summary_current_live_preferred.csv,73.36 +/- 1.29 (n=10)
primary_10_client,Cora,GCN,1,FedProp-Adj,no,10000,10,50,0.1,0.5,14,71.59285714285714,1.9621276856884369,2,experiments/results/current/summary_current_live_preferred.csv,71.59 +/- 1.96 (n=14)
primary_10_client,Cora,GCN,1,FedProp-Adj,yes,1,10,80,1.0,0.5,13,79.48461538461538,0.8763999789348014,2,experiments/results/current/summary_current_live_preferred.csv,79.48 +/- 0.88 (n=13)
primary_10_client,Cora,GCN,1,FedProp-Adj,yes,10000,10,80,1.0,0.5,13,74.29230769230769,0.6356906198006739,2,experiments/results/current/summary_current_live_preferred.csv,74.29 +/- 0.64 (n=13)
